Date,Product_ID,Product_Name,Transaction_Type,Units,Cumulative_Quantity
2020-03-31,1046125,Samsung Electronics Ltd,BUY,71197.0,71197.0
2020-03-31,1046145,SK HYNIX INC,BUY,5589.0,5589.0
2020-03-31,1046250,SAMSUNG SDI CO LTD,BUY,1913.0,1913.0
2020-03-31,1046251,LG CORP,BUY,818.0,818.0
2020-03-31,1046267,LG DISPLAY CO LTD,BUY,4547.0,4547.0
2020-03-31,1046310,SK TELECOM,BUY,288.0,288.0
2020-03-31,1046676,SAMSUNG ELECTRO MECHANICS LTD,BUY,4733.0,4733.0
2020-03-31,1061622,SKC Co Ltd,BUY,12200.0,12200.0
2020-03-31,1046540,KUMHO PETROCHEMICAL CO LTD,BUY,776.0,776.0
2020-03-31,1061591,Hyundai Elevator Co Ltd,BUY,872.0,872.0
2020-03-31,1048754,Doosan Bobcat Inc,BUY,2584.0,2584.0
2020-03-31,1046620,HANMI PHARMACEUTICAL CO. LTD.,BUY,188.0,188.0
2020-03-31,1061607,Bukwang Pharmaceutical Co Ltd,BUY,17388.0,17388.0
2020-03-31,1046629,E-MART LTD,BUY,481.0,481.0
2020-03-31,1061582,BGF retail Co Ltd,BUY,377.0,377.0
2020-03-31,1046669,CJ CORP,BUY,772.0,772.0
2020-03-31,1046632,HYUNDAI GLOVIS LTD,BUY,553.0,553.0
2020-03-31,1061571,Samsung Biologics Co Ltd,BUY,971.0,971.0
2020-03-31,1046717,YUHAN CORP,BUY,9960.0,9960.0
2020-04-01,1046142,SUN HUNG KAI PROPERTIES,SELL,130555.0,0.0
2020-04-01,1046277,HANG LUNG PROPERTIES LTD,BUY,1111767.0,1111767.0
2020-04-01,1046241,NEW WORLD DEVELOPMENT,SELL,1496641.0,0.0
2020-04-01,1046653,WHEELOCK AND LTD,BUY,335195.0,335195.0
2020-04-30,1046315,58.COM INC-ADR,SELL,22925.0,0.0
2020-04-30,1046481,KINGSOFT CORP LTD,BUY,341290.0,341290.0
2020-05-15,1046179,CHINA PACIFIC INSURANCE (GROUP) LT,SELL,521120.0,0.0
2020-05-15,1012339,Ping An Insurance (Grp) Co of China Ltd,BUY,147574.0,147574.0
2020-05-29,1061622,SKC Co Ltd,SELL,12200.0,0.0
2020-05-29,1061639,SK Chemicals Co Ltd,BUY,7557.0,7557.0
2020-05-29,1046319,KAKAO CORP,SELL,3061.0,0.0
2020-05-29,1046216,NCSOFT CORP,BUY,1017.0,1759.0
2020-07-01,1046454,SAMSUNG CARD CO,SELL,1671.0,0.0
2020-07-01,1046411,KOREA INVESTMENT HOLDINGS CO,BUY,1017.0,1017.0
2020-07-01,1009157,China Unicom (Hong Kong) Limited,SELL,1664269.0,2255228.0
2020-07-01,1046479,CHINA COMMUNICATIONS SERVI-H,BUY,1496145.0,1496145.0
2020-07-01,1046479,CHINA COMMUNICATIONS SERVI-H,BUY,2027338.0,3523483.0
2020-07-15,1045677,Alibaba Group Holding Ltd,BUY,7674.0,7674.0
2020-07-15,1046453,GUANGZHOU R&F PROPERTIES - H,SELL,2986340.0,0.0
2020-07-15,1046617,CHINA STATE CONSTRUCTION INTERNATI,SELL,923116.0,0.0
2020-07-15,1046492,SUNAC CHINA HOLDINGS LTD,BUY,888883.0,2558921.0
2020-07-15,1046699,CHINA CONCH VENTURE HOLDINGS LTD,BUY,135018.0,135018.0
2020-07-31,1061639,SK Chemicals Co Ltd,SELL,7557.0,0.0
2020-07-31,1061608,Daewoong Pharmaceutical Co Ltd,BUY,18436.0,18436.0
2020-08-31,1046269,UNITED MICROELECTRONICS CORP,SELL,6031744.0,11586175.0
2020-08-31,1046373,REALTEK SEMICONDUCTOR CORP,BUY,363703.0,363703.0
2020-08-31,1046269,UNITED MICROELECTRONICS CORP,SELL,5988498.0,5597677.0
2020-08-31,1046373,REALTEK SEMICONDUCTOR CORP,BUY,349953.0,713656.0
2020-08-31,1046606,SWIRE PROPERTIES LTD,BUY,1181407.0,2227801.0
2020-08-31,1046277,HANG LUNG PROPERTIES LTD,SELL,1111767.0,0.0
2020-08-31,1046240,CHINA SHENHUA ENERGY CO-H,SELL,696052.0,0.0
2020-08-31,1046526,CHINA OILFIELD SERVICES-H,BUY,1758575.0,1758575.0
2020-08-31,1046141,HYUNDAI MOTOR,SELL,561.0,0.0
