Product_ID,Product_Name,Date,Transaction_Type,Units,Cumulative_Quantity
1009156,China Life Insurance Co. Ltd.,2017-05-02,BUY,532765.0,1047785.0
1009156,China Life Insurance Co. Ltd.,2017-09-01,SELL,515020.0,532765.0
1009156,China Life Insurance Co. Ltd.,2017-09-01,SELL,532765.0,0.0
1009166,China Mobile Limited,2017-12-01,BUY,239468.0,239468.0
1009166,China Mobile Limited,2023-03-31,SELL,239468.0,0.0
1009164,China Petroleum & Chemical Corp,2017-05-15,BUY,2201776.0,2201776.0
1009164,China Petroleum & Chemical Corp,2017-09-01,SELL,2201776.0,0.0
1009164,China Petroleum & Chemical Corp,2018-09-17,BUY,2008342.0,2008342.0
1009164,China Petroleum & Chemical Corp,2019-04-01,SELL,2008342.0,0.0
1009157,China Unicom (Hong Kong) Limited,2017-02-28,BUY,1668320.0,1668320.0
1009157,China Unicom (Hong Kong) Limited,2018-02-28,SELL,1668320.0,0.0
1009157,China Unicom (Hong Kong) Limited,2019-09-16,BUY,2255228.0,2255228.0
1009157,China Unicom (Hong Kong) Limited,2019-10-15,BUY,1664269.0,3919497.0
1009157,China Unicom (Hong Kong) Limited,2020-07-01,SELL,1664269.0,2255228.0
1009157,China Unicom (Hong Kong) Limited,2021-06-15,BUY,1217448.0,3472676.0
1009157,China Unicom (Hong Kong) Limited,2023-03-31,SELL,3472676.0,0.0
1009157,China Unicom (Hong Kong) Limited,2023-04-01,BUY,1217448.0,1217448.0
1009157,China Unicom (Hong Kong) Limited,2023-04-01,BUY,1217448.0,2434896.0
1009157,China Unicom (Hong Kong) Limited,2023-04-01,BUY,2984593.0,5419489.0
