TRANSACTION_ID,TRANSACTION_TYPE,PRODUCT_ID,TYPE,T_DATE,UNIT,PRICE,COMMISSION,STATUS,NOTES,ADDENUM,UPDATE_DATE,PORTFOLIO_ID,CASH_ACCOUNT,,,
225419,CASH,1012089,BUY,4/14/2017 13:25,21849479.08,1,0,CONFIRMED,CASH TRANSACTION FOR 225418,NULL,2/20/2025 13:28,4378,HKD,,,
225420,INVESTMENT,1046639,BUY,4/14/2017 13:29,2638831,8.28,0,CONFIRMED,,NULL,2/20/2025 13:29,4378,HKD,,,
225421,CASH,1012089,SELL,4/14/2017 13:29,21849520.68,1,0,CONFIRMED,CASH TRANSACTION FOR 225420,NULL,2/20/2025 13:29,4378,HKD,,,
225422,INVESTMENT,1046198,SELL,5/2/2017 13:30,187903,113.4,55003.91,CONFIRMED,,NULL,2/20/2025 13:31,4378,HKD,,,
225423,CASH,1012089,BUY,5/2/2017 13:30,21253196.29,1,0,CONFIRMED,CASH TRANSACTION FOR 225422,NULL,2/20/2025 13:31,4378,HKD,,,
225424,INVESTMENT,1046552,BUY,5/2/2017 13:34,1437970,14.78,0,CONFIRMED,,NULL,2/20/2025 13:35,4378,HKD,,,
225425,CASH,1012089,SELL,5/2/2017 13:34,21253196.6,1,0,CONFIRMED,CASH TRANSACTION FOR 225424,NULL,2/20/2025 13:35,4378,HKD,,,
225426,INVESTMENT,1046261,SELL,5/2/2017 13:35,987494,12.8,40023.13,CONFIRMED,,NULL,2/20/2025 13:37,4378,HKD,,,
225427,CASH,1012089,BUY,5/2/2017 13:35,12599900.07,1,0,CONFIRMED,CASH TRANSACTION FOR 225426,NULL,2/20/2025 13:37,4378,HKD,,,
225428,INVESTMENT,1009156,BUY,5/2/2017 13:37,532765,23.65,0,CONFIRMED,,NULL,2/20/2025 13:37,4378,HKD,,,
225429,CASH,1012089,SELL,5/2/2017 13:37,12599892.25,1,0,CONFIRMED,CASH TRANSACTION FOR 225428,NULL,2/20/2025 13:37,4378,HKD,,,
225430,INVESTMENT,1046154,SELL,5/2/2017 13:38,7507,265.59,6525.8,CONFIRMED,,NULL,2/20/2025 13:40,4378,USD,,,
225431,CASH,1012080,BUY,5/2/2017 13:38,1987258.33,1,0,CONFIRMED,CASH TRANSACTION FOR 225430,NULL,2/20/2025 13:40,4378,USD,,,
225432,INVESTMENT,1046552,BUY,5/2/2017 13:40,1050286,14.78,0,CONFIRMED,,NULL,2/20/2025 13:41,4378,HKD,,,
